title,link,coupon_code,date_found,discount,rating,students,language
Java concurrency iter academy,https://www.udemy.com/course/java-concurrency-iter-academy/?couponCode=CCY-JULY25-1,CCY-JULY25-1,2025-07-11 23:56:05,,,,
Employee CyberSecurity Awareness First Line of Defense,https://www.udemy.com/course/corporate-cyber-security-awareness-for-employees-2022/?couponCode=6F80294EF4E7D108565F,6F80294EF4E7D108565F,2025-07-11 23:56:10,,,,
Essential Adobe Lightroom Course for Photo Editing,https://www.udemy.com/course/essential-adobe-lightroom-course-for-photo-editing/?couponCode=7CA0FCA82507CC824162,7CA0FCA82507CC824162,2025-07-11 23:56:10,,,,
The complete b2b sales course lead generation to closing,https://www.udemy.com/course/the-complete-b2b-sales-course-lead-generation-to-closing/?couponCode=CEAFCA95542990A322EC,CEAFCA95542990A322EC,2025-07-11 23:56:05,,,,
Unlock Fluent English: Master Idioms for Rapid Communication,https://www.udemy.com/course/english-idioms-course-to-speak-fluently/?couponCode=LEARNENGLISH,LEARNENGLISH,2025-07-11 23:56:10,,,,
MS Excel Automation | Excel Data Analysis with Python,https://www.udemy.com/course/ms-excel-automation-excel-data-analysis-with-python/?couponCode=13D837AB192FA298CE13,13D837AB192FA298CE13,2025-07-11 23:56:10,,,,
Terraform Certification : Basics to Professional,https://www.udemy.com/course/terraform-certification-basics-to-professional-short-course/?couponCode=B8A3B8F92D7029B6D6FB,B8A3B8F92D7029B6D6FB,2025-07-11 23:56:10,,,,
Advanced Certificate in Financial Analysis and Management,https://www.udemy.com/course/advanced-certificate-in-financial-analysis-and-management/?couponCode=3B2432533A0E8A9831AF,3B2432533A0E8A9831AF,2025-07-11 23:56:10,,,,
Advance MS Excel VBA for Beginner to Advanced,https://www.udemy.com/course/advance-ms-excel-vba-for-beginner-to-advanced/?couponCode=6684EDB872857398A80F,6684EDB872857398A80F,2025-07-11 23:56:10,,,,
Public Speaking and Presentation Skills Masterclass,https://www.udemy.com/course/public-speaking-and-presentation-skills-course/?couponCode=5B5131AF852762DB6574,5B5131AF852762DB6574,2025-07-11 23:56:10,,,,
Executive Certificate in Company Direction,https://www.udemy.com/course/executive-certificate-in-company-direction/?couponCode=1B3184334E1A76B6ADA3,1B3184334E1A76B6ADA3,2025-07-11 23:56:10,,,,
Excel – Excel Essentials Course For Beginners to Expert,https://www.udemy.com/course/excel-excel-essential-with-tips-trick-and-job-success/?couponCode=BISMILLAH_31,BISMILLAH_31,2025-07-11 23:56:10,,,,
Associate Professional Risk Manager APRM Certificate,https://www.udemy.com/course/associate-professional-risk-manager-aprm-certificate/?couponCode=61D9C0EB0C07EC06CE71,61D9C0EB0C07EC06CE71,2025-07-11 23:56:10,,,,
